epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5038,1.15528,1.04998,1.3618,0.90833,0.92647,0.94314,0.68621,0.93403,0.58556,1.15487,0.00032,0.00032,0.00032
2,36.9026,0.96181,0.73498,1.21699,0.89875,0.91383,0.91196,0.7066,0.84573,0.56324,1.13953,0.000657822,0.000657822,0.000657822
3,42.8688,0.94708,0.74966,1.17232,0.8641,0.9351,0.90989,0.66523,0.9734,0.56969,1.21581,0.0009934,0.0009934,0.0009934
4,51.2261,1.00574,0.78378,1.22593,0.90377,0.9668,0.94682,0.64797,0.96359,0.56137,1.24997,0.00132673,0.00132673,0.00132673
5,58.9978,0.96114,0.83693,1.16599,0.83227,0.91176,0.90825,0.67501,0.91307,0.63442,1.24034,0.00165782,0.00165782,0.00165782
6,64.6823,0.93254,0.7841,1.17483,0.95725,0.88235,0.93639,0.66336,0.94674,0.62228,1.182,0.001967,0.001967,0.001967
7,73.8295,0.99397,0.84358,1.2261,0.81204,0.95588,0.93682,0.64148,1.10472,0.79202,1.34603,0.0019604,0.0019604,0.0019604
8,81.6983,0.9442,0.78058,1.1901,0.85899,0.89587,0.89104,0.53834,1.15627,0.78394,1.46358,0.0019538,0.0019538,0.0019538
9,87.7886,1.02332,0.82714,1.23382,0.74361,0.66176,0.68926,0.35585,1.45977,1.09657,1.59298,0.0019472,0.0019472,0.0019472
10,96.3573,0.98393,0.81552,1.19637,0.81481,0.69118,0.80335,0.50958,1.25788,0.87035,1.49108,0.0019406,0.0019406,0.0019406
11,102.131,0.97056,0.76509,1.1728,0.84852,0.90618,0.90029,0.64436,0.97907,0.66584,1.27849,0.001934,0.001934,0.001934
12,110.884,0.94806,0.75283,1.19398,0.89577,0.88473,0.91485,0.59478,1.12064,0.70141,1.44526,0.0019274,0.0019274,0.0019274
13,117.709,0.97006,0.77963,1.18843,0.89828,0.92647,0.94282,0.6716,0.97792,0.66798,1.26134,0.0019208,0.0019208,0.0019208
14,123.52,0.9563,0.74781,1.1944,0.88819,0.9346,0.94184,0.69466,0.95316,0.58581,1.24164,0.0019142,0.0019142,0.0019142
15,132.557,0.94687,0.71804,1.18673,0.85374,0.92647,0.94157,0.67112,0.96497,0.64428,1.22641,0.0019076,0.0019076,0.0019076
16,138.243,0.89009,0.66973,1.14963,0.87271,0.94118,0.93825,0.72978,0.88911,0.5336,1.21138,0.001901,0.001901,0.001901
17,145.017,0.8826,0.64763,1.16563,0.87478,0.92465,0.95216,0.74629,0.84855,0.59203,1.13752,0.0018944,0.0018944,0.0018944
18,153.655,0.91667,0.70976,1.15181,0.86534,0.89706,0.92664,0.64065,0.94512,0.6897,1.20519,0.0018878,0.0018878,0.0018878
19,159.386,0.9578,0.76594,1.18799,0.79713,0.85294,0.91041,0.66931,0.93675,0.72008,1.17105,0.0018812,0.0018812,0.0018812
20,170.79,0.86683,0.69625,1.12586,0.87143,0.91176,0.91558,0.65621,0.95847,0.70423,1.2098,0.0018746,0.0018746,0.0018746
21,177.097,0.90483,0.73737,1.1569,0.93198,0.95588,0.94897,0.70066,0.96331,0.52576,1.26563,0.001868,0.001868,0.001868
22,183.073,0.93417,0.69038,1.19573,0.90939,0.88554,0.93967,0.67784,1.0087,0.60115,1.24429,0.0018614,0.0018614,0.0018614
23,193.031,0.90547,0.68524,1.1644,0.84219,0.94178,0.95919,0.71057,0.87778,0.63793,1.16937,0.0018548,0.0018548,0.0018548
24,198.83,0.94033,0.69607,1.19173,0.93993,0.88235,0.97096,0.72083,0.88177,0.56676,1.14864,0.0018482,0.0018482,0.0018482
25,205.497,0.88518,0.65584,1.17082,0.9657,0.91176,0.97311,0.7193,0.93834,0.57845,1.21729,0.0018416,0.0018416,0.0018416
26,214.221,0.88001,0.66982,1.13884,0.90105,0.92647,0.96115,0.67496,1.05039,0.56869,1.35398,0.001835,0.001835,0.001835
27,219.972,0.88963,0.66031,1.15888,0.92169,0.89706,0.93936,0.69299,0.95123,0.54319,1.24016,0.0018284,0.0018284,0.0018284
28,227.702,0.84743,0.66724,1.10909,0.90863,0.92647,0.96614,0.7071,0.93865,0.55483,1.21091,0.0018218,0.0018218,0.0018218
29,235.403,0.87687,0.66337,1.14005,0.89462,0.91176,0.96687,0.70933,0.9654,0.56983,1.25408,0.0018152,0.0018152,0.0018152
30,241.068,0.85887,0.60793,1.14645,0.94012,0.88235,0.9651,0.70369,1.00297,0.56,1.27893,0.0018086,0.0018086,0.0018086
31,249.762,0.89692,0.69234,1.14342,0.85994,0.89706,0.94588,0.68207,0.97967,0.66452,1.26194,0.001802,0.001802,0.001802
32,256.682,0.86114,0.66769,1.13982,0.88767,0.95588,0.9646,0.69287,0.96402,0.54962,1.25793,0.0017954,0.0017954,0.0017954
33,262.492,0.89428,0.70308,1.18038,0.92498,0.94118,0.9589,0.71954,0.8964,0.54264,1.2063,0.0017888,0.0017888,0.0017888
