epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8596,1.1052,1.69024,1.44958,0.50944,0.34049,0.349,0.14964,2.09203,2.48682,2.54748,0.000662602,0.000662602,0.000662602
2,142.962,1.22012,1.31982,1.5018,0.61104,0.58819,0.60617,0.30247,1.60073,1.66873,2.00908,0.00129167,0.00129167,0.00129167
3,204.466,1.23744,1.24309,1.53016,0.63929,0.56595,0.57803,0.29641,1.64375,1.96835,2.0611,0.00188302,0.00188302,0.00188302
4,271.796,1.20771,1.16766,1.50037,0.73884,0.68635,0.72314,0.42671,1.2847,1.28375,1.67929,0.00183029,0.00183029,0.00183029
5,332.801,1.1923,1.14158,1.49434,0.71734,0.67408,0.72452,0.45971,1.24238,1.22102,1.63387,0.00177371,0.00177371,0.00177371
6,393.96,1.13409,1.06165,1.44188,0.79031,0.66476,0.75556,0.45568,1.37801,1.45247,1.88142,0.00171714,0.00171714,0.00171714
7,453.724,1.11807,1.03594,1.43017,0.8285,0.71319,0.80578,0.54486,1.13608,0.97848,1.5013,0.00166057,0.00166057,0.00166057
8,514.726,1.0556,0.96636,1.38305,0.78775,0.68022,0.77686,0.53355,1.05368,1.05532,1.45399,0.001604,0.001604,0.001604
9,575.338,1.04966,0.95502,1.38337,0.85353,0.73313,0.82476,0.5812,1.05852,0.89274,1.44438,0.00154743,0.00154743,0.00154743
10,639.275,1.04553,0.94848,1.37778,0.87589,0.75383,0.84895,0.60756,1.00521,0.78338,1.40102,0.00149086,0.00149086,0.00149086
11,700.361,0.99929,0.90891,1.36461,0.84904,0.77202,0.84297,0.60603,0.99312,0.78951,1.36502,0.00143429,0.00143429,0.00143429
12,761.518,0.97512,0.86988,1.33355,0.87901,0.74101,0.8337,0.60168,0.98823,0.82283,1.39298,0.00137771,0.00137771,0.00137771
13,822.34,0.95606,0.85783,1.31148,0.86405,0.72699,0.82988,0.58381,1.03598,0.83506,1.43387,0.00132114,0.00132114,0.00132114
14,883.522,0.92705,0.81464,1.29823,0.87772,0.74863,0.85516,0.61746,0.94872,0.75154,1.34432,0.00126457,0.00126457,0.00126457
15,948.507,0.91867,0.80223,1.29419,0.86307,0.76856,0.85398,0.63536,0.91126,0.70285,1.32197,0.001208,0.001208,0.001208
16,1008.94,0.91446,0.78001,1.28108,0.88898,0.78603,0.86238,0.63838,0.91798,0.70876,1.32641,0.00115143,0.00115143,0.00115143
17,1069.12,0.91892,0.79903,1.29414,0.90936,0.78681,0.87447,0.65963,0.85578,0.66095,1.27747,0.00109486,0.00109486,0.00109486
18,1129.66,0.88625,0.77556,1.27781,0.90285,0.76074,0.86783,0.66707,0.8352,0.68753,1.24246,0.00103829,0.00103829,0.00103829
19,1191.27,0.89516,0.76477,1.27323,0.90565,0.77684,0.8791,0.67202,0.82761,0.63763,1.24081,0.000981714,0.000981714,0.000981714
20,1254.76,0.86948,0.73938,1.25217,0.90761,0.76085,0.86697,0.66112,0.83749,0.67936,1.22621,0.000925143,0.000925143,0.000925143
21,1316.5,0.87226,0.73618,1.25848,0.8976,0.79218,0.88358,0.6814,0.81938,0.61399,1.23554,0.000868571,0.000868571,0.000868571
22,1379.49,0.85727,0.72119,1.24477,0.93175,0.78298,0.88662,0.7008,0.78347,0.60028,1.19511,0.000812,0.000812,0.000812
23,1439.06,0.84275,0.70645,1.24262,0.91397,0.79029,0.88642,0.70156,0.7708,0.59744,1.19188,0.000755429,0.000755429,0.000755429
24,1500.2,0.84195,0.71635,1.24162,0.90928,0.81475,0.90101,0.70502,0.77729,0.58777,1.18449,0.000698857,0.000698857,0.000698857
25,1564.68,0.81332,0.67962,1.21419,0.92816,0.80828,0.90324,0.70993,0.76694,0.55387,1.1669,0.000642286,0.000642286,0.000642286
26,1625.82,0.70245,0.55184,1.17837,0.91921,0.81212,0.89945,0.71234,0.76966,0.56169,1.18065,0.000585714,0.000585714,0.000585714
27,1685.04,0.68409,0.5263,1.16192,0.9095,0.81694,0.90082,0.71804,0.74845,0.55754,1.15033,0.000529143,0.000529143,0.000529143
28,1743.51,0.6818,0.5155,1.15328,0.92516,0.80521,0.89858,0.71582,0.73265,0.55294,1.13688,0.000472571,0.000472571,0.000472571
29,1802.41,0.64768,0.48877,1.13031,0.91864,0.81442,0.90365,0.7334,0.70362,0.52534,1.11972,0.000416,0.000416,0.000416
30,1861.63,0.63723,0.48095,1.13358,0.9106,0.82801,0.9023,0.73297,0.71056,0.54259,1.12703,0.000359429,0.000359429,0.000359429
31,1924.5,0.62672,0.46126,1.1231,0.90662,0.83972,0.90785,0.73727,0.70114,0.5213,1.11639,0.000302857,0.000302857,0.000302857
32,1983.34,0.60527,0.45146,1.10336,0.93786,0.82899,0.91314,0.74664,0.6908,0.50931,1.09968,0.000246286,0.000246286,0.000246286
33,2041.58,0.59763,0.43952,1.09474,0.91493,0.84126,0.91284,0.74711,0.6846,0.50334,1.09938,0.000189714,0.000189714,0.000189714
34,2101.25,0.58449,0.4247,1.08807,0.93203,0.83512,0.91471,0.74942,0.67733,0.49828,1.09052,0.000133143,0.000133143,0.000133143
35,2161.05,0.56924,0.41883,1.07435,0.93006,0.84356,0.91685,0.75267,0.66892,0.49309,1.08563,7.65714e-05,7.65714e-05,7.65714e-05
